Mã,Tên,Cấp,Mã TP,Tỉnh / Thành Phố
124,Huyện Yên Châu,Huyện,14,Tỉnh Sơn La
125,Huyện Mai Sơn,Huyện,14,Tỉnh Sơn La
126,Huyện Sông Mã,Huyện,14,Tỉnh Sơn La
127,Huyện Sốp Cộp,Huyện,14,Tỉnh Sơn La
128,Huyện Vân Hồ,Huyện,14,Tỉnh Sơn La
132,Thành phố Yên Bái,Thành phố,15,Tỉnh Yên Bái
133,Thị xã Nghĩa Lộ,Thị xã,15,Tỉnh Yên Bái
135,Huyện Lục Yên,Huyện,15,Tỉnh Yên Bái
136,Huyện Văn Yên,Huyện,15,Tỉnh Yên Bái
137,Huyện Mù Căng Chải,Huyện,15,Tỉnh Yên Bái
138,Huyện Trấn Yên,Huyện,15,Tỉnh Yên Bái
139,Huyện Trạm Tấu,Huyện,15,Tỉnh Yên Bái
140,Huyện Văn Chấn,Huyện,15,Tỉnh Yên Bái
141,Huyện Yên Bình,Huyện,15,Tỉnh Yên Bái
148,Thành phố Hòa Bình,Thành phố,17,Tỉnh Hoà Bình
150,Huyện Đà Bắc,Huyện,17,Tỉnh Hoà Bình
152,Huyện Lương Sơn,Huyện,17,Tỉnh Hoà Bình
153,Huyện Kim Bôi,Huyện,17,Tỉnh Hoà Bình
154,Huyện Cao Phong,Huyện,17,Tỉnh Hoà Bình
155,Huyện Tân Lạc,Huyện,17,Tỉnh Hoà Bình
156,Huyện Mai Châu,Huyện,17,Tỉnh Hoà Bình
157,Huyện Lạc Sơn,Huyện,17,Tỉnh Hoà Bình
158,Huyện Yên Thủy,Huyện,17,Tỉnh Hoà Bình
159,Huyện Lạc Thủy,Huyện,17,Tỉnh Hoà Bình
164,Thành phố Thái Nguyên,Thành phố,19,Tỉnh Thái Nguyên
165,Thành phố Sông Công,Thành phố,19,Tỉnh Thái Nguyên
167,Huyện Định Hóa,Huyện,19,Tỉnh Thái Nguyên
168,Huyện Phú Lương,Huyện,19,Tỉnh Thái Nguyên
169,Huyện Đồng Hỷ,Huyện,19,Tỉnh Thái Nguyên
170,Huyện Võ Nhai,Huyện,19,Tỉnh Thái Nguyên
171,Huyện Đại Từ,Huyện,19,Tỉnh Thái Nguyên
172,Thị xã Phổ Yên,Thị xã,19,Tỉnh Thái Nguyên
173,Huyện Phú Bình,Huyện,19,Tỉnh Thái Nguyên
178,Thành phố Lạng Sơn,Thành phố,20,Tỉnh Lạng Sơn
180,Huyện Tràng Định,Huyện,20,Tỉnh Lạng Sơn
181,Huyện Bình Gia,Huyện,20,Tỉnh Lạng Sơn
182,Huyện Văn Lãng,Huyện,20,Tỉnh Lạng Sơn
183,Huyện Cao Lộc,Huyện,20,Tỉnh Lạng Sơn
184,Huyện Văn Quan,Huyện,20,Tỉnh Lạng Sơn
185,Huyện Bắc Sơn,Huyện,20,Tỉnh Lạng Sơn
186,Huyện Hữu Lũng,Huyện,20,Tỉnh Lạng Sơn
187,Huyện Chi Lăng,Huyện,20,Tỉnh Lạng Sơn
188,Huyện Lộc Bình,Huyện,20,Tỉnh Lạng Sơn
189,Huyện Đình Lập,Huyện,20,Tỉnh Lạng Sơn
193,Thành phố Hạ Long,Thành phố,22,Tỉnh Quảng Ninh
194,Thành phố Móng Cái,Thành phố,22,Tỉnh Quảng Ninh
195,Thành phố Cẩm Phả,Thành phố,22,Tỉnh Quảng Ninh
196,Thành phố Uông Bí,Thành phố,22,Tỉnh Quảng Ninh
198,Huyện Bình Liêu,Huyện,22,Tỉnh Quảng Ninh
199,Huyện Tiên Yên,Huyện,22,Tỉnh Quảng Ninh
200,Huyện Đầm Hà,Huyện,22,Tỉnh Quảng Ninh
201,Huyện Hải Hà,Huyện,22,Tỉnh Quảng Ninh
202,Huyện Ba Chẽ,Huyện,22,Tỉnh Quảng Ninh
203,Huyện Vân Đồn,Huyện,22,Tỉnh Quảng Ninh
205,Thị xã Đông Triều,Thị xã,22,Tỉnh Quảng Ninh
206,Thị xã Quảng Yên,Thị xã,22,Tỉnh Quảng Ninh
207,Huyện Cô Tô,Huyện,22,Tỉnh Quảng Ninh
213,Thành phố Bắc Giang,Thành phố,24,Tỉnh Bắc Giang
215,Huyện Yên Thế,Huyện,24,Tỉnh Bắc Giang
216,Huyện Tân Yên,Huyện,24,Tỉnh Bắc Giang
217,Huyện Lạng Giang,Huyện,24,Tỉnh Bắc Giang
218,Huyện Lục Nam,Huyện,24,Tỉnh Bắc Giang
219,Huyện Lục Ngạn,Huyện,24,Tỉnh Bắc Giang
220,Huyện Sơn Động,Huyện,24,Tỉnh Bắc Giang
221,Huyện Yên Dũng,Huyện,24,Tỉnh Bắc Giang
222,Huyện Việt Yên,Huyện,24,Tỉnh Bắc Giang
223,Huyện Hiệp Hòa,Huyện,24,Tỉnh Bắc Giang
227,Thành phố Việt Trì,Thành phố,25,Tỉnh Phú Thọ
228,Thị xã Phú Thọ,Thị xã,25,Tỉnh Phú Thọ
230,Huyện Đoan Hùng,Huyện,25,Tỉnh Phú Thọ
231,Huyện Hạ Hoà,Huyện,25,Tỉnh Phú Thọ
232,Huyện Thanh Ba,Huyện,25,Tỉnh Phú Thọ
233,Huyện Phù Ninh,Huyện,25,Tỉnh Phú Thọ
234,Huyện Yên Lập,Huyện,25,Tỉnh Phú Thọ
235,Huyện Cẩm Khê,Huyện,25,Tỉnh Phú Thọ
236,Huyện Tam Nông,Huyện,25,Tỉnh Phú Thọ
237,Huyện Lâm Thao,Huyện,25,Tỉnh Phú Thọ
238,Huyện Thanh Sơn,Huyện,25,Tỉnh Phú Thọ
239,Huyện Thanh Thuỷ,Huyện,25,Tỉnh Phú Thọ
240,Huyện Tân Sơn,Huyện,25,Tỉnh Phú Thọ
243,Thành phố Vĩnh Yên,Thành phố,26,Tỉnh Vĩnh Phúc
244,Thành phố Phúc Yên,Thành phố,26,Tỉnh Vĩnh Phúc
246,Huyện Lập Thạch,Huyện,26,Tỉnh Vĩnh Phúc
247,Huyện Tam Dương,Huyện,26,Tỉnh Vĩnh Phúc
248,Huyện Tam Đảo,Huyện,26,Tỉnh Vĩnh Phúc
249,Huyện Bình Xuyên,Huyện,26,Tỉnh Vĩnh Phúc
251,Huyện Yên Lạc,Huyện,26,Tỉnh Vĩnh Phúc
252,Huyện Vĩnh Tường,Huyện,26,Tỉnh Vĩnh Phúc
253,Huyện Sông Lô,Huyện,26,Tỉnh Vĩnh Phúc
256,Thành phố Bắc Ninh,Thành phố,27,Tỉnh Bắc Ninh
258,Huyện Yên Phong,Huyện,27,Tỉnh Bắc Ninh
259,Huyện Quế Võ,Huyện,27,Tỉnh Bắc Ninh
260,Huyện Tiên Du,Huyện,27,Tỉnh Bắc Ninh
261,Thành phố Từ Sơn,Thành phố,27,Tỉnh Bắc Ninh
262,Huyện Thuận Thành,Huyện,27,Tỉnh Bắc Ninh
263,Huyện Gia Bình,Huyện,27,Tỉnh Bắc Ninh
264,Huyện Lương Tài,Huyện,27,Tỉnh Bắc Ninh
288,Thành phố Hải Dương,Thành phố,30,Tỉnh Hải Dương
290,Thành phố Chí Linh,Thành phố,30,Tỉnh Hải Dương
291,Huyện Nam Sách,Huyện,30,Tỉnh Hải Dương
292,Thị xã Kinh Môn,Thị xã,30,Tỉnh Hải Dương
293,Huyện Kim Thành,Huyện,30,Tỉnh Hải Dương
294,Huyện Thanh Hà,Huyện,30,Tỉnh Hải Dương
295,Huyện Cẩm Giàng,Huyện,30,Tỉnh Hải Dương
296,Huyện Bình Giang,Huyện,30,Tỉnh Hải Dương
297,Huyện Gia Lộc,Huyện,30,Tỉnh Hải Dương
298,Huyện Tứ Kỳ,Huyện,30,Tỉnh Hải Dương
299,Huyện Ninh Giang,Huyện,30,Tỉnh Hải Dương
300,Huyện Thanh Miện,Huyện,30,Tỉnh Hải Dương
303,Quận Hồng Bàng,Quận,31,Thành phố Hải Phòng
304,Quận Ngô Quyền,Quận,31,Thành phố Hải Phòng
305,Quận Lê Chân,Quận,31,Thành phố Hải Phòng
306,Quận Hải An,Quận,31,Thành phố Hải Phòng
307,Quận Kiến An,Quận,31,Thành phố Hải Phòng
308,Quận Đồ Sơn,Quận,31,Thành phố Hải Phòng
309,Quận Dương Kinh,Quận,31,Thành phố Hải Phòng
311,Huyện Thuỷ Nguyên,Huyện,31,Thành phố Hải Phòng
312,Huyện An Dương,Huyện,31,Thành phố Hải Phòng
313,Huyện An Lão,Huyện,31,Thành phố Hải Phòng
314,Huyện Kiến Thuỵ,Huyện,31,Thành phố Hải Phòng
315,Huyện Tiên Lãng,Huyện,31,Thành phố Hải Phòng
316,Huyện Vĩnh Bảo,Huyện,31,Thành phố Hải Phòng
317,Huyện Cát Hải,Huyện,31,Thành phố Hải Phòng
318,Huyện Bạch Long Vĩ,Huyện,31,Thành phố Hải Phòng
323,Thành phố Hưng Yên,Thành phố,33,Tỉnh Hưng Yên
325,Huyện Văn Lâm,Huyện,33,Tỉnh Hưng Yên
326,Huyện Văn Giang,Huyện,33,Tỉnh Hưng Yên
327,Huyện Yên Mỹ,Huyện,33,Tỉnh Hưng Yên
328,Thị xã Mỹ Hào,Thị xã,33,Tỉnh Hưng Yên
329,Huyện Ân Thi,Huyện,33,Tỉnh Hưng Yên
330,Huyện Khoái Châu,Huyện,33,Tỉnh Hưng Yên
331,Huyện Kim Động,Huyện,33,Tỉnh Hưng Yên
332,Huyện Tiên Lữ,Huyện,33,Tỉnh Hưng Yên
333,Huyện Phù Cừ,Huyện,33,Tỉnh Hưng Yên
336,Thành phố Thái Bình,Thành phố,34,Tỉnh Thái Bình
338,Huyện Quỳnh Phụ,Huyện,34,Tỉnh Thái Bình
339,Huyện Hưng Hà,Huyện,34,Tỉnh Thái Bình
340,Huyện Đông Hưng,Huyện,34,Tỉnh Thái Bình
341,Huyện Thái Thụy,Huyện,34,Tỉnh Thái Bình
342,Huyện Tiền Hải,Huyện,34,Tỉnh Thái Bình
343,Huyện Kiến Xương,Huyện,34,Tỉnh Thái Bình
344,Huyện Vũ Thư,Huyện,34,Tỉnh Thái Bình
347,Thành phố Phủ Lý,Thành phố,35,Tỉnh Hà Nam
349,Thị xã Duy Tiên,Thị xã,35,Tỉnh Hà Nam
350,Huyện Kim Bảng,Huyện,35,Tỉnh Hà Nam
351,Huyện Thanh Liêm,Huyện,35,Tỉnh Hà Nam
352,Huyện Bình Lục,Huyện,35,Tỉnh Hà Nam
353,Huyện Lý Nhân,Huyện,35,Tỉnh Hà Nam
356,Thành phố Nam Định,Thành phố,36,Tỉnh Nam Định
358,Huyện Mỹ Lộc,Huyện,36,Tỉnh Nam Định
359,Huyện Vụ Bản,Huyện,36,Tỉnh Nam Định
360,Huyện Ý Yên,Huyện,36,Tỉnh Nam Định
361,Huyện Nghĩa Hưng,Huyện,36,Tỉnh Nam Định
362,Huyện Nam Trực,Huyện,36,Tỉnh Nam Định
363,Huyện Trực Ninh,Huyện,36,Tỉnh Nam Định
364,Huyện Xuân Trường,Huyện,36,Tỉnh Nam Định
365,Huyện Giao Thủy,Huyện,36,Tỉnh Nam Định
366,Huyện Hải Hậu,Huyện,36,Tỉnh Nam Định
369,Thành phố Ninh Bình,Thành phố,37,Tỉnh Ninh Bình
370,Thành phố Tam Điệp,Thành phố,37,Tỉnh Ninh Bình
372,Huyện Nho Quan,Huyện,37,Tỉnh Ninh Bình
373,Huyện Gia Viễn,Huyện,37,Tỉnh Ninh Bình
374,Huyện Hoa Lư,Huyện,37,Tỉnh Ninh Bình
375,Huyện Yên Khánh,Huyện,37,Tỉnh Ninh Bình
376,Huyện Kim Sơn,Huyện,37,Tỉnh Ninh Bình
377,Huyện Yên Mô,Huyện,37,Tỉnh Ninh Bình
380,Thành phố Thanh Hóa,Thành phố,38,Tỉnh Thanh Hóa
381,Thị xã Bỉm Sơn,Thị xã,38,Tỉnh Thanh Hóa
382,Thành phố Sầm Sơn,Thành phố,38,Tỉnh Thanh Hóa
384,Huyện Mường Lát,Huyện,38,Tỉnh Thanh Hóa
385,Huyện Quan Hóa,Huyện,38,Tỉnh Thanh Hóa
386,Huyện Bá Thước,Huyện,38,Tỉnh Thanh Hóa
387,Huyện Quan Sơn,Huyện,38,Tỉnh Thanh Hóa
388,Huyện Lang Chánh,Huyện,38,Tỉnh Thanh Hóa
389,Huyện Ngọc Lặc,Huyện,38,Tỉnh Thanh Hóa
390,Huyện Cẩm Thủy,Huyện,38,Tỉnh Thanh Hóa
391,Huyện Thạch Thành,Huyện,38,Tỉnh Thanh Hóa
392,Huyện Hà Trung,Huyện,38,Tỉnh Thanh Hóa
393,Huyện Vĩnh Lộc,Huyện,38,Tỉnh Thanh Hóa
394,Huyện Yên Định,Huyện,38,Tỉnh Thanh Hóa
395,Huyện Thọ Xuân,Huyện,38,Tỉnh Thanh Hóa
396,Huyện Thường Xuân,Huyện,38,Tỉnh Thanh Hóa
397,Huyện Triệu Sơn,Huyện,38,Tỉnh Thanh Hóa
398,Huyện Thiệu Hóa,Huyện,38,Tỉnh Thanh Hóa
399,Huyện Hoằng Hóa,Huyện,38,Tỉnh Thanh Hóa
400,Huyện Hậu Lộc,Huyện,38,Tỉnh Thanh Hóa
401,Huyện Nga Sơn,Huyện,38,Tỉnh Thanh Hóa
402,Huyện Như Xuân,Huyện,38,Tỉnh Thanh Hóa
403,Huyện Như Thanh,Huyện,38,Tỉnh Thanh Hóa
404,Huyện Nông Cống,Huyện,38,Tỉnh Thanh Hóa
405,Huyện Đông Sơn,Huyện,38,Tỉnh Thanh Hóa
406,Huyện Quảng Xương,Huyện,38,Tỉnh Thanh Hóa
407,Thị xã Nghi Sơn,Thị xã,38,Tỉnh Thanh Hóa
412,Thành phố Vinh,Thành phố,40,Tỉnh Nghệ An
413,Thị xã Cửa Lò,Thị xã,40,Tỉnh Nghệ An
414,Thị xã Thái Hoà,Thị xã,40,Tỉnh Nghệ An
415,Huyện Quế Phong,Huyện,40,Tỉnh Nghệ An
416,Huyện Quỳ Châu,Huyện,40,Tỉnh Nghệ An
417,Huyện Kỳ Sơn,Huyện,40,Tỉnh Nghệ An
418,Huyện Tương Dương,Huyện,40,Tỉnh Nghệ An
419,Huyện Nghĩa Đàn,Huyện,40,Tỉnh Nghệ An
420,Huyện Quỳ Hợp,Huyện,40,Tỉnh Nghệ An
421,Huyện Quỳnh Lưu,Huyện,40,Tỉnh Nghệ An
422,Huyện Con Cuông,Huyện,40,Tỉnh Nghệ An
423,Huyện Tân Kỳ,Huyện,40,Tỉnh Nghệ An
424,Huyện Anh Sơn,Huyện,40,Tỉnh Nghệ An
425,Huyện Diễn Châu,Huyện,40,Tỉnh Nghệ An
426,Huyện Yên Thành,Huyện,40,Tỉnh Nghệ An
427,Huyện Đô Lương,Huyện,40,Tỉnh Nghệ An
428,Huyện Thanh Chương,Huyện,40,Tỉnh Nghệ An
429,Huyện Nghi Lộc,Huyện,40,Tỉnh Nghệ An
430,Huyện Nam Đàn,Huyện,40,Tỉnh Nghệ An
431,Huyện Hưng Nguyên,Huyện,40,Tỉnh Nghệ An
432,Thị xã Hoàng Mai,Thị xã,40,Tỉnh Nghệ An
436,Thành phố Hà Tĩnh,Thành phố,42,Tỉnh Hà Tĩnh
437,Thị xã Hồng Lĩnh,Thị xã,42,Tỉnh Hà Tĩnh
439,Huyện Hương Sơn,Huyện,42,Tỉnh Hà Tĩnh
440,Huyện Đức Thọ,Huyện,42,Tỉnh Hà Tĩnh
441,Huyện Vũ Quang,Huyện,42,Tỉnh Hà Tĩnh
442,Huyện Nghi Xuân,Huyện,42,Tỉnh Hà Tĩnh
443,Huyện Can Lộc,Huyện,42,Tỉnh Hà Tĩnh
444,Huyện Hương Khê,Huyện,42,Tỉnh Hà Tĩnh
445,Huyện Thạch Hà,Huyện,42,Tỉnh Hà Tĩnh
446,Huyện Cẩm Xuyên,Huyện,42,Tỉnh Hà Tĩnh
447,Huyện Kỳ Anh,Huyện,42,Tỉnh Hà Tĩnh
448,Huyện Lộc Hà,Huyện,42,Tỉnh Hà Tĩnh
449,Thị xã Kỳ Anh,Thị xã,42,Tỉnh Hà Tĩnh
450,Thành Phố Đồng Hới,Thành phố,44,Tỉnh Quảng Bình
452,Huyện Minh Hóa,Huyện,44,Tỉnh Quảng Bình
453,Huyện Tuyên Hóa,Huyện,44,Tỉnh Quảng Bình
454,Huyện Quảng Trạch,Huyện,44,Tỉnh Quảng Bình
455,Huyện Bố Trạch,Huyện,44,Tỉnh Quảng Bình
456,Huyện Quảng Ninh,Huyện,44,Tỉnh Quảng Bình
457,Huyện Lệ Thủy,Huyện,44,Tỉnh Quảng Bình
458,Thị xã Ba Đồn,Thị xã,44,Tỉnh Quảng Bình
461,Thành phố Đông Hà,Thành phố,45,Tỉnh Quảng Trị
462,Thị xã Quảng Trị,Thị xã,45,Tỉnh Quảng Trị
464,Huyện Vĩnh Linh,Huyện,45,Tỉnh Quảng Trị
465,Huyện Hướng Hóa,Huyện,45,Tỉnh Quảng Trị
466,Huyện Gio Linh,Huyện,45,Tỉnh Quảng Trị
467,Huyện Đa Krông,Huyện,45,Tỉnh Quảng Trị
468,Huyện Cam Lộ,Huyện,45,Tỉnh Quảng Trị
469,Huyện Triệu Phong,Huyện,45,Tỉnh Quảng Trị
470,Huyện Hải Lăng,Huyện,45,Tỉnh Quảng Trị
471,Huyện Cồn Cỏ,Huyện,45,Tỉnh Quảng Trị
474,Thành phố Huế,Thành phố,46,Tỉnh Thừa Thiên Huế
476,Huyện Phong Điền,Huyện,46,Tỉnh Thừa Thiên Huế
477,Huyện Quảng Điền,Huyện,46,Tỉnh Thừa Thiên Huế
478,Huyện Phú Vang,Huyện,46,Tỉnh Thừa Thiên Huế
479,Thị xã Hương Thủy,Thị xã,46,Tỉnh Thừa Thiên Huế
480,Thị xã Hương Trà,Thị xã,46,Tỉnh Thừa Thiên Huế
481,Huyện A Lưới,Huyện,46,Tỉnh Thừa Thiên Huế
482,Huyện Phú Lộc,Huyện,46,Tỉnh Thừa Thiên Huế
483,Huyện Nam Đông,Huyện,46,Tỉnh Thừa Thiên Huế
490,Quận Liên Chiểu,Quận,48,Thành phố Đà Nẵng
491,Quận Thanh Khê,Quận,48,Thành phố Đà Nẵng
492,Quận Hải Châu,Quận,48,Thành phố Đà Nẵng
493,Quận Sơn Trà,Quận,48,Thành phố Đà Nẵng
494,Quận Ngũ Hành Sơn,Quận,48,Thành phố Đà Nẵng
495,Quận Cẩm Lệ,Quận,48,Thành phố Đà Nẵng
497,Huyện Hòa Vang,Huyện,48,Thành phố Đà Nẵng
498,Huyện Hoàng Sa,Huyện,48,Thành phố Đà Nẵng
502,Thành phố Tam Kỳ,Thành phố,49,Tỉnh Quảng Nam
503,Thành phố Hội An,Thành phố,49,Tỉnh Quảng Nam
504,Huyện Tây Giang,Huyện,49,Tỉnh Quảng Nam
505,Huyện Đông Giang,Huyện,49,Tỉnh Quảng Nam
506,Huyện Đại Lộc,Huyện,49,Tỉnh Quảng Nam
507,Thị xã Điện Bàn,Thị xã,49,Tỉnh Quảng Nam
508,Huyện Duy Xuyên,Huyện,49,Tỉnh Quảng Nam
509,Huyện Quế Sơn,Huyện,49,Tỉnh Quảng Nam
510,Huyện Nam Giang,Huyện,49,Tỉnh Quảng Nam
511,Huyện Phước Sơn,Huyện,49,Tỉnh Quảng Nam
512,Huyện Hiệp Đức,Huyện,49,Tỉnh Quảng Nam
513,Huyện Thăng Bình,Huyện,49,Tỉnh Quảng Nam
514,Huyện Tiên Phước,Huyện,49,Tỉnh Quảng Nam
515,Huyện Bắc Trà My,Huyện,49,Tỉnh Quảng Nam
516,Huyện Nam Trà My,Huyện,49,Tỉnh Quảng Nam
517,Huyện Núi Thành,Huyện,49,Tỉnh Quảng Nam
518,Huyện Phú Ninh,Huyện,49,Tỉnh Quảng Nam
519,Huyện Nông Sơn,Huyện,49,Tỉnh Quảng Nam
522,Thành phố Quảng Ngãi,Thành phố,51,Tỉnh Quảng Ngãi
524,Huyện Bình Sơn,Huyện,51,Tỉnh Quảng Ngãi
525,Huyện Trà Bồng,Huyện,51,Tỉnh Quảng Ngãi
527,Huyện Sơn Tịnh,Huyện,51,Tỉnh Quảng Ngãi
528,Huyện Tư Nghĩa,Huyện,51,Tỉnh Quảng Ngãi
529,Huyện Sơn Hà,Huyện,51,Tỉnh Quảng Ngãi
530,Huyện Sơn Tây,Huyện,51,Tỉnh Quảng Ngãi
531,Huyện Minh Long,Huyện,51,Tỉnh Quảng Ngãi
532,Huyện Nghĩa Hành,Huyện,51,Tỉnh Quảng Ngãi
533,Huyện Mộ Đức,Huyện,51,Tỉnh Quảng Ngãi
534,Thị xã Đức Phổ,Thị xã,51,Tỉnh Quảng Ngãi
535,Huyện Ba Tơ,Huyện,51,Tỉnh Quảng Ngãi
536,Huyện Lý Sơn,Huyện,51,Tỉnh Quảng Ngãi
540,Thành phố Quy Nhơn,Thành phố,52,Tỉnh Bình Định
