Mã,Tên,Cấp,Mã QH,Quận Huyện,Mã TP,Tỉnh / Thành Phố
145.0,Phường Long Biên,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
148.0,Phường Thạch Bàn,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
151.0,Phường Phúc Đồng,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
154.0,Phường Cự Khối,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
157.0,Phường Nghĩa Đô,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
160.0,Phường Nghĩa Tân,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
163.0,Phường Mai Dịch,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
166.0,Phường Dịch Vọng,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
167.0,Phường Dịch Vọng Hậu,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
169.0,Phường Quan Hoa,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
172.0,Phường Yên Hoà,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
175.0,Phường Trung Hoà,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
178.0,Phường Cát Linh,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
181.0,Phường Văn Miếu,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
184.0,Phường Quốc Tử Giám,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
187.0,Phường Láng Thượng,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
190.0,Phường Ô Chợ Dừa,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
193.0,Phường Văn Chương,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
196.0,Phường Hàng Bột,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
199.0,Phường Láng Hạ,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
202.0,Phường Khâm Thiên,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
205.0,Phường Thổ Quan,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
208.0,Phường Nam Đồng,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
211.0,Phường Trung Phụng,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
214.0,Phường Quang Trung,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
217.0,Phường Trung Liệt,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
220.0,Phường Phương Liên,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
223.0,Phường Thịnh Quang,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
226.0,Phường Trung Tự,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
229.0,Phường Kim Liên,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
232.0,Phường Phương Mai,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
235.0,Phường Ngã Tư Sở,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
238.0,Phường Khương Thượng,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
241.0,Phường Nguyễn Du,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
244.0,Phường Bạch Đằng,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
247.0,Phường Phạm Đình Hổ,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
256.0,Phường Lê Đại Hành,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
259.0,Phường Đồng Nhân,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
262.0,Phường Phố Huế,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
265.0,Phường Đống Mác,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
268.0,Phường Thanh Lương,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
271.0,Phường Thanh Nhàn,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
274.0,Phường Cầu Dền,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
277.0,Phường Bách Khoa,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
280.0,Phường Đồng Tâm,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
283.0,Phường Vĩnh Tuy,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
286.0,Phường Bạch Mai,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
289.0,Phường Quỳnh Mai,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
292.0,Phường Quỳnh Lôi,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
295.0,Phường Minh Khai,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
298.0,Phường Trương Định,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
301.0,Phường Thanh Trì,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
304.0,Phường Vĩnh Hưng,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
307.0,Phường Định Công,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
310.0,Phường Mai Động,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
313.0,Phường Tương Mai,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
316.0,Phường Đại Kim,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
319.0,Phường Tân Mai,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
322.0,Phường Hoàng Văn Thụ,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
325.0,Phường Giáp Bát,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
328.0,Phường Lĩnh Nam,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
331.0,Phường Thịnh Liệt,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
334.0,Phường Trần Phú,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
337.0,Phường Hoàng Liệt,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
340.0,Phường Yên Sở,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
343.0,Phường Nhân Chính,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
346.0,Phường Thượng Đình,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
349.0,Phường Khương Trung,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
352.0,Phường Khương Mai,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
355.0,Phường Thanh Xuân Trung,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
358.0,Phường Phương Liệt,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
361.0,Phường Hạ Đình,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
364.0,Phường Khương Đình,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
367.0,Phường Thanh Xuân Bắc,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
370.0,Phường Thanh Xuân Nam,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
373.0,Phường Kim Giang,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
376.0,Thị trấn Sóc Sơn,Thị trấn,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
379.0,Xã Bắc Sơn,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
382.0,Xã Minh Trí,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
385.0,Xã Hồng Kỳ,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
388.0,Xã Nam Sơn,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
391.0,Xã Trung Giã,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
394.0,Xã Tân Hưng,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
397.0,Xã Minh Phú,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
400.0,Xã Phù Linh,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
403.0,Xã Bắc Phú,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
406.0,Xã Tân Minh,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
409.0,Xã Quang Tiến,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
412.0,Xã Hiền Ninh,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
415.0,Xã Tân Dân,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
418.0,Xã Tiên Dược,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
421.0,Xã Việt Long,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
424.0,Xã Xuân Giang,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
427.0,Xã Mai Đình,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
430.0,Xã Đức Hoà,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
433.0,Xã Thanh Xuân,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
436.0,Xã Đông Xuân,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
439.0,Xã Kim Lũ,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
442.0,Xã Phú Cường,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
445.0,Xã Phú Minh,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
448.0,Xã Phù Lỗ,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
451.0,Xã Xuân Thu,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
454.0,Thị trấn Đông Anh,Thị trấn,17,Huyện Đông Anh,1,Thành phố Hà Nội
457.0,Xã Xuân Nộn,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
460.0,Xã Thuỵ Lâm,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
463.0,Xã Bắc Hồng,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
466.0,Xã Nguyên Khê,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
469.0,Xã Nam Hồng,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
472.0,Xã Tiên Dương,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
475.0,Xã Vân Hà,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
478.0,Xã Uy Nỗ,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
481.0,Xã Vân Nội,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
484.0,Xã Liên Hà,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
487.0,Xã Việt Hùng,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
490.0,Xã Kim Nỗ,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
493.0,Xã Kim Chung,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
496.0,Xã Dục Tú,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
499.0,Xã Đại Mạch,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
502.0,Xã Vĩnh Ngọc,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
505.0,Xã Cổ Loa,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
508.0,Xã Hải Bối,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
511.0,Xã Xuân Canh,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
514.0,Xã Võng La,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
517.0,Xã Tàm Xá,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
520.0,Xã Mai Lâm,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
523.0,Xã Đông Hội,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
526.0,Thị trấn Yên Viên,Thị trấn,18,Huyện Gia Lâm,1,Thành phố Hà Nội
529.0,Xã Yên Thường,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
532.0,Xã Yên Viên,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
535.0,Xã Ninh Hiệp,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
538.0,Xã Đình Xuyên,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
541.0,Xã Dương Hà,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
544.0,Xã Phù Đổng,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
547.0,Xã Trung Mầu,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
550.0,Xã Lệ Chi,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
553.0,Xã Cổ Bi,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
556.0,Xã Đặng Xá,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
559.0,Xã Phú Thị,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
562.0,Xã Kim Sơn,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
565.0,Thị trấn Trâu Quỳ,Thị trấn,18,Huyện Gia Lâm,1,Thành phố Hà Nội
568.0,Xã Dương Quang,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
571.0,Xã Dương Xá,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
574.0,Xã Đông Dư,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
577.0,Xã Đa Tốn,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
580.0,Xã Kiêu Kỵ,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
583.0,Xã Bát Tràng,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
586.0,Xã Kim Lan,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
589.0,Xã Văn Đức,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
592.0,Phường Cầu Diễn,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
622.0,Phường Xuân Phương,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
623.0,Phường Phương Canh,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
625.0,Phường Mỹ Đình 1,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
626.0,Phường Mỹ Đình 2,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
628.0,Phường Tây Mỗ,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
631.0,Phường Mễ Trì,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
632.0,Phường Phú Đô,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
634.0,Phường Đại Mỗ,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
637.0,Phường Trung Văn,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
640.0,Thị trấn Văn Điển,Thị trấn,20,Huyện Thanh Trì,1,Thành phố Hà Nội
643.0,Xã Tân Triều,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
646.0,Xã Thanh Liệt,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
649.0,Xã Tả Thanh Oai,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
652.0,Xã Hữu Hoà,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
655.0,Xã Tam Hiệp,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
658.0,Xã Tứ Hiệp,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
661.0,Xã Yên Mỹ,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
664.0,Xã Vĩnh Quỳnh,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
667.0,Xã Ngũ Hiệp,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
670.0,Xã Duyên Hà,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
673.0,Xã Ngọc Hồi,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
676.0,Xã Vạn Phúc,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
679.0,Xã Đại áng,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
682.0,Xã Liên Ninh,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
685.0,Xã Đông Mỹ,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
595.0,Phường Thượng Cát,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
598.0,Phường Liên Mạc,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
601.0,Phường Đông Ngạc,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
602.0,Phường Đức Thắng,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
604.0,Phường Thụy Phương,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
607.0,Phường Tây Tựu,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
610.0,Phường Xuân Đỉnh,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
611.0,Phường Xuân Tảo,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
613.0,Phường Minh Khai,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
616.0,Phường Cổ Nhuế 1,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
617.0,Phường Cổ Nhuế 2,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
619.0,Phường Phú Diễn,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
620.0,Phường Phúc Diễn,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
8973.0,Thị trấn Chi Đông,Thị trấn,250,Huyện Mê Linh,1,Thành phố Hà Nội
8974.0,Xã Đại Thịnh,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8977.0,Xã Kim Hoa,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8980.0,Xã Thạch Đà,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8983.0,Xã Tiến Thắng,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8986.0,Xã Tự Lập,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8989.0,Thị trấn Quang Minh,Thị trấn,250,Huyện Mê Linh,1,Thành phố Hà Nội
8992.0,Xã Thanh Lâm,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8995.0,Xã Tam Đồng,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8998.0,Xã Liên Mạc,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9001.0,Xã Vạn Yên,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9004.0,Xã Chu Phan,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9007.0,Xã Tiến Thịnh,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9010.0,Xã Mê Linh,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9013.0,Xã Văn Khê,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9016.0,Xã Hoàng Kim,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9019.0,Xã Tiền Phong,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9022.0,Xã Tráng Việt,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9538.0,Phường Nguyễn Trãi,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9541.0,Phường Mộ Lao,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9542.0,Phường Văn Quán,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9544.0,Phường Vạn Phúc,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9547.0,Phường Yết Kiêu,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9550.0,Phường Quang Trung,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9551.0,Phường La Khê,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9552.0,Phường Phú La,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9553.0,Phường Phúc La,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9556.0,Phường Hà Cầu,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9562.0,Phường Yên Nghĩa,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9565.0,Phường Kiến Hưng,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9568.0,Phường Phú Lãm,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9571.0,Phường Phú Lương,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9886.0,Phường Dương Nội,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
10117.0,Phường Đồng Mai,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
10123.0,Phường Biên Giang,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9574.0,Phường Lê Lợi,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9577.0,Phường Phú Thịnh,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9580.0,Phường Ngô Quyền,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9583.0,Phường Quang Trung,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9586.0,Phường Sơn Lộc,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9589.0,Phường Xuân Khanh,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9592.0,Xã Đường Lâm,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9595.0,Phường Viên Sơn,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9598.0,Xã Xuân Sơn,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9601.0,Phường Trung Hưng,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9604.0,Xã Thanh Mỹ,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9607.0,Phường Trung Sơn Trầm,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9610.0,Xã Kim Sơn,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9613.0,Xã Sơn Đông,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9616.0,Xã Cổ Đông,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9619.0,Thị trấn Tây Đằng,Thị trấn,271,Huyện Ba Vì,1,Thành phố Hà Nội
9625.0,Xã Phú Cường,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9628.0,Xã Cổ Đô,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9631.0,Xã Tản Hồng,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9634.0,Xã Vạn Thắng,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
